apt_number,apt_type,apt_ownership_type,ownerl_name,votes_per_owner,votes_per_apt,votes_by_sq_feet,ownership_start_date,gen_owner_name
132,apartment,residential,,1,4,11,06.06.2016,ownerName164
133,apartment,residential,,1,1,91.3,17.05.2016,ownerName165
134,apartment,residential,,1,1,70.4,29.06.2016,ownerName166
135,apartment,residential,,1,1,66,14.10.2016,ownerName167
136,apartment,residential,,1,1,44.1,11.05.2016,ownerName168
137,apartment,residential,,1,1,91.3,11.05.2016,ownerName169
138,unknown,unknown,,,,,,unknown
139,apartment,residential,,4,10,47.64,31.01.2017,ownerName171
139,apartment,residential,,1,10,11.91,31.01.2017,ownerName172
139,apartment,residential,,1,10,11.91,31.01.2017,ownerName173
139,apartment,residential,,4,10,47.64,31.01.2017,ownerName174
140,apartment,residential,,1,1,77.1,12.05.2016,ownerName175
141,apartment,residential,,1,1,65.1,13.08.2018,ownerName176
142,apartment,residential,,1,1,45.7,01.11.2016,ownerName177
143,apartment,residential,,1,2,22.4,03.05.2017,ownerName178
143,apartment,residential,,1,2,22.4,03.05.2017,ownerName179
144,apartment,residential,,1,1,87.4,06.07.2017,ownerName180
145,apartment,residential,,1,1,77.3,22.06.2016,ownerName181
146,apartment,residential,,1,1,65,01.08.2016,ownerName182
147,apartment,residential,,1,2,23.05,16.09.2016,ownerName183
147,apartment,residential,,1,2,23.05,16.09.2016,ownerName184
148,apartment,residential,,1,1,45,26.05.2016,ownerName185
149,apartment,residential,,1,1,106.4,05.05.2016,ownerName186
150,apartment,residential,,1,1,77.2,23.06.2016,ownerName187
151,apartment,residential,,1,3,21.67,18.05.2017,ownerName188
151,apartment,residential,,1,3,21.67,18.05.2017,ownerName189
151,apartment,residential,,1,3,21.67,18.05.2017,ownerName190
152,apartment,residential,,1,2,22.95,07.09.2016,ownerName191
152,apartment,residential,,1,2,22.95,07.09.2016,ownerName192
153,apartment,residential,,1,1,44.9,27.08.2016,ownerName193
154,apartment,residential,,1,1,106.4,09.08.2016,ownerName194
155,apartment,residential,,1,1,77.2,10.05.2016,ownerName195
156,apartment,residential,,1,1,64.7,03.11.2016,ownerName196
157,apartment,residential,,1,1,45.8,11.05.2016,ownerName248
158,apartment,residential,,1,1,44.9,22.06.2016,ownerName198
159,apartment,residential,,1,1,106.7,28.11.2017,ownerName199
160,apartment,residential,,1,1,77.7,10.08.2016,ownerName200
161,apartment,residential,,1,1,64.9,18.12.2017,ownerName201
162,apartment,residential,,1,1,46.1,11.05.2016,ownerName248
163,apartment,residential,,1,1,45.1,19.09.2016,ownerName203
164,apartment,residential,,1,1,107,11.05.2016,ownerName248
165,apartment,residential,,1,1,77.3,29.07.2016,ownerName205
166,apartment,residential,,1,1,63.9,20.06.2016,ownerName206
167,apartment,residential,,1,1,46,19.12.2016,ownerName207
168,apartment,residential,,1,2,22.45,31.05.2016,ownerName208
168,apartment,residential,,1,2,22.45,31.05.2016,ownerName209
169,apartment,residential,,1,1,107,04.08.2016,ownerName210
170,apartment,residential,,1,1,77.4,11.05.2016,ownerName248
171,apartment,residential,,1,1,65,24.05.2016,ownerName212
172,apartment,residential,,1,1,45.8,11.04.2016,ownerName213
173,apartment,residential,,1,1,44.9,28.09.2016,ownerName214
174,apartment,residential,,1,1,106.9,19.12.2016,ownerName215
175,apartment,residential,,1,1,77.4,05.05.2016,ownerName216
176,apartment,residential,,1,1,65.1,25.05.2016,ownerName217
177,apartment,residential,,1,4,11.48,30.05.2016,ownerName218
177,apartment,residential,,1,4,11.48,30.05.2016,ownerName219
177,apartment,residential,,1,4,11.48,30.05.2016,ownerName220
177,apartment,residential,,1,4,11.48,30.05.2016,ownerName221
178,apartment,residential,,1,2,22.5,16.05.2016,ownerName222
178,apartment,residential,,1,2,22.5,16.05.2016,ownerName223
179,apartment,residential,,1,1,106.5,27.04.2016,ownerName224
180,apartment,residential,,1,1,76.3,18.05.2016,ownerName225
181,apartment,residential,,1,1,64.8,13.05.2016,ownerName226
182,apartment,residential,,1,1,45.6,10.06.2016,ownerName227
183,apartment,residential,,1,1,46.5,16.02.2017,ownerName228
184,apartment,residential,,1,1,107,09.06.2016,ownerName229
185,apartment,residential,,1,1,254.9,24.08.2016,ownerName230
186,apartment,residential,,1,1,45.1,06.03.2017,ownerName231
187,apartment,residential,,1,2,53.35,16.08.2016,ownerName232
187,apartment,residential,,1,2,53.35,16.08.2016,ownerName233
188,apartment,residential,,1,1,48.6,08.09.2016,ownerName234
189,apartment,residential,,1,1,25.9,10.09.2016,ownerName235
190,apartment,residential,,1,1,34.2,02.11.2016,ownerName236
191,apartment,residential,,1,2,21.6,07.04.2017,ownerName237
191,apartment,residential,,1,2,21.6,07.04.2017,ownerName238
192,apartment,residential,,1,1,42.7,06.06.2016,ownerName239
193,apartment,residential,,1,1,68,31.03.2017,ownerName240
194,apartment,residential,,1,1,48.5,20.04.2016,ownerName241
195,apartment,residential,,1,1,25.8,26.04.2016,ownerName242
196,unknown,unknown,,,,,,unknown
197,apartment,residential,,1,1,43.1,20.05.2016,ownerName244
198,apartment,residential,,1,1,42.9,01.12.2017,ownerName245
199,apartment,residential,,1,1,68,05.05.2016,ownerName246
200,unknown,unknown,,,,,,unknown
201,apartment,residential,,1,1,26,11.05.2016,ownerName248
202,apartment,residential,,1,1,34.3,29.06.2016,ownerName249
203,unknown,unknown,,,,,,unknown
204,apartment,residential,,1,1,42.8,18.10.2016,ownerName251
205,apartment,residential,,1,1,67.9,06.06.2016,ownerName259
206,unknown,unknown,,,,,,unknown
207,apartment,residential,,1,1,26.1,25.05.2016,ownerName254
208,apartment,residential,,1,1,34.2,26.09.2016,ownerName255
209,apartment,residential,,1,1,43.3,29.04.2016,ownerName256
210,apartment,residential,,2,3,28.6,18.05.2016,ownerName257
210,apartment,residential,,1,3,14.3,18.05.2016,ownerName258
211,apartment,residential,,1,1,67.9,06.06.2016,ownerName259
212,apartment,residential,,1,1,48.4,12.07.2016,ownerName260
213,apartment,residential,,1,1,31.1,24.05.2017,ownerName261
214,apartment,residential,,1,1,34.3,19.04.2016,ownerName262
215,apartment,residential,,1,1,43.2,07.09.2016,ownerName263
216,unknown,unknown,,,,,,unknown
217,unknown,unknown,,,,,,unknown
218,apartment,residential,,1,1,48.4,26.12.2016,ownerName266
219,apartment,residential,,1,1,26,07.07.2016,ownerName267
220,apartment,residential,,1,1,34.1,09.06.2016,ownerName268
221,apartment,residential,,1,1,43.3,20.05.2016,ownerName269
222,unknown,unknown,,,,,,unknown
223,apartment,residential,,1,1,67.9,23.08.2016,ownerName271
224,apartment,residential,,1,1,48.4,30.05.2017,ownerName272
225,apartment,residential,,1,1,25.8,12.05.2016,ownerName273
226,apartment,residential,,1,1,34.1,23.05.2016,ownerName274
227,apartment,residential,,1,1,43.3,01.12.2016,ownerName275
228,apartment,residential,,1,1,42.8,11.04.2016,ownerName276
229,apartment,residential,,9,20,30.51,10.05.2016,ownerName277
229,apartment,residential,,11,20,37.29,10.05.2016,ownerName278
230,apartment,residential,,1,1,48.4,09.01.2018,ownerName279
231,apartment,residential,,1,1,26.1,12.07.2016,ownerName280
232,apartment,residential,,1,1,34.2,11.05.2016,ownerName281
233,apartment,residential,,1,1,43.4,19.12.2016,ownerName282
234,apartment,residential,,1,1,42.9,26.06.2017,ownerName283
235,apartment,residential,,1,1,67.8,13.07.2016,ownerName284
236,apartment,residential,,1,1,137.6,04.04.2017,ownerName285
237,apartment,residential,,1,1,112.2,12.07.2016,ownerName286
238,apartment,residential,,1,1,37.6,24.10.2016,ownerName287
239,apartment,residential,,1,1,43.5,02.06.2016,ownerName288
240,apartment,residential,,1,2,21.65,23.06.2016,ownerName289
240,apartment,residential,,1,2,21.65,23.06.2016,ownerName290
241,apartment,residential,,1,2,31.4,10.06.2016,ownerName291
241,apartment,residential,,1,2,31.4,10.06.2016,ownerName292
242,apartment,residential,,1,1,29.8,31.01.2018,ownerName293
243,apartment,residential,,1,1,34.8,16.03.2017,ownerName294
244,unknown,unknown,,,,,,unknown
245,apartment,residential,,1,1,43.2,05.05.2016,ownerName296
246,apartment,residential,,1,1,64.1,23.05.2016,ownerName297
247,apartment,residential,,1,1,48.4,25.05.2016,ownerName298
248,apartment,residential,,1,1,41.5,09.06.2016,ownerName299
249,apartment,residential,,1,1,67.9,02.04.2018,ownerName300
250,unknown,unknown,,,,,,unknown
251,unknown,unknown,,,,,,unknown
252,apartment,residential,,1,2,31.95,16.11.2016,ownerName303
252,apartment,residential,,1,2,31.95,16.11.2016,ownerName304
253,apartment,residential,,1,1,48.4,09.09.2016,ownerName305
254,apartment,residential,,1,1,41.5,26.05.2016,ownerName306
255,apartment,residential,,1,1,64.9,15.02.2017,ownerName307
256,apartment,residential,,1,1,43.5,20.01.2017,ownerName308
257,unknown,unknown,,,,,,unknown
258,apartment,residential,,1,1,64.2,10.05.2016,ownerName310
259,apartment,residential,,1,1,48.3,27.07.2016,ownerName311
260,apartment,residential,,1,1,41.6,25.05.2016,ownerName312
261,apartment,residential,,1,1,64.7,15.08.2016,ownerName313
262,apartment,residential,,1,1,43.4,16.01.2017,ownerName314
263,unknown,unknown,,,,,,unknown
264,apartment,residential,,1,1,64,05.10.2016,ownerName316
265,apartment,residential,,1,1,48.5,26.08.2016,ownerName317
266,apartment,residential,,1,2,57.65,08.06.2016,ownerName318
266,apartment,residential,,1,2,57.65,08.06.2016,ownerName319
267,unknown,unknown,,,,,,unknown
268,unknown,unknown,,,,,,unknown
269,apartment,residential,,1,1,64.1,07.02.2018,ownerName322
270,apartment,residential,,1,1,48.4,03.02.2017,ownerName323
271,apartment,residential,,1,1,112.5,12.05.2016,ownerName324
272,apartment,residential,,1,1,43.5,20.06.2016,ownerName325
273,apartment,residential,,1,1,43.2,16.12.2016,ownerName326
274,apartment,residential,,1,2,32.05,14.12.2016,ownerName327
274,apartment,residential,,1,2,32.05,14.12.2016,ownerName328
275,apartment,residential,,1,1,48.5,23.05.2017,ownerName329
276,apartment,residential,,1,1,116.2,05.05.2016,ownerName330
277,apartment,residential,,1,1,43.6,10.05.2016,ownerName331
278,unknown,unknown,,,,,,unknown
279,apartment,residential,,1,1,64,20.05.2016,ownerName333
280,apartment,residential,,1,1,48.6,29.04.2016,ownerName334
281,apartment,residential,,1,1,114.2,16.06.2016,ownerName335
282,apartment,residential,,1,1,43.4,26.01.2017,ownerName336
283,unknown,unknown,,,,,,unknown
284,apartment,residential,,1,1,64.1,09.08.2016,ownerName338
285,apartment,residential,,1,1,48.5,08.09.2016,ownerName339
286,apartment,residential,,1,1,146.5,15.03.2017,ownerName340
287,apartment,residential,,1,1,108.2,10.07.2017,ownerName341
